chroma_energy,mfcc,chroma_stft,zero_crossing_rate,spectral_centroid,spectral_rolloff,genre
0.229,-17.928,0.197,0.023,1209.409,1737.729,classical
0.247,-17.589,0.2,0.022,1283.186,2357.886,classical
0.226,-17.737,0.195,0.022,1228.526,1974.595,classical
0.238,-17.142,0.203,0.022,1321.519,2637.817,classical
0.234,-17.209,0.205,0.022,1333.548,2732.563,classical
0.238,-17.824,0.209,0.022,1324.828,2678.73,classical
0.246,-17.067,0.222,0.021,1269.116,2435.405,classical
0.243,-17.023,0.219,0.021,1293.985,2519.385,classical
0.25,-16.93,0.217,0.02,1415.57,3184.761,classical
0.205,-16.57,0.298,0.022,875.075,835.488,classical
0.205,-16.889,0.323,0.024,855.932,807.495,classical
0.197,-16.565,0.289,0.024,961.878,1225.239,classical
0.198,-17.039,0.287,0.024,797.026,794.575,classical
0.207,-16.533,0.271,0.023,872.81,962.534,classical
0.193,-16.431,0.268,0.024,916.329,1089.58,classical
0.201,-15.581,0.282,0.024,907.734,999.141,classical
0.191,-17.068,0.281,0.024,727.341,710.596,classical
0.202,-16.549,0.28,0.024,1060.08,1576.23,classical
0.185,-17.07,0.277,0.024,722.568,706.289,classical
0.262,-10.404,0.312,0.022,1143.214,2144.707,classical
0.277,-9.541,0.395,0.022,1244.108,2332.046,classical
0.276,-9.12,0.298,0.022,1235.209,2398.799,classical
0.263,-8.721,0.283,0.023,1148.119,2077.954,classical
0.253,-8.746,0.241,0.024,949.257,1625.757,classical
0.24,-8.694,0.252,0.025,1131.539,2101.641,classical
0.236,-8.276,0.248,0.028,1107.837,2032.734,classical
0.228,-7.701,0.245,0.029,1271.427,2555.991,classical
0.233,-6.711,0.276,0.031,1225.138,2252.373,classical
0.229,-6.226,0.268,0.031,1145.893,2075.801,classical
0.249,-20.708,0.821,0.053,3568.544,8326.89,classical
0.269,-20.575,0.806,0.051,3531.769,8249.37,classical
0.259,-20.687,0.786,0.049,3554.558,8290.283,classical
0.243,-20.73,0.775,0.051,3544.854,8223.53,classical
0.26,-20.499,0.786,0.048,3482.995,8193.384,classical
0.268,-20.504,0.767,0.052,3495.894,8197.69,classical
0.265,-20.552,0.754,0.058,3545.801,8223.53,classical
0.261,-20.789,0.764,0.07,3551.587,8229.99,classical
0.261,-21.006,0.733,0.068,3560.972,8257.983,classical
0.273,-20.98,0.755,0.069,3553.534,8257.983,classical
0.253,-2.673,0.3,0.088,1902.51,3608.965,classical
0.249,-3.128,0.283,0.088,1835.619,3505.605,classical
0.242,-3.564,0.262,0.087,1819.835,3479.766,classical
0.237,-3.566,0.257,0.085,1798.217,3421.626,classical
0.243,-3.331,0.231,0.083,1772.98,3421.626,classical
0.234,-3.996,0.224,0.08,1755.913,3359.18,classical
0.237,-3.881,0.193,0.076,1758.713,3262.28,classical
0.242,-3.949,0.192,0.071,1728.219,3204.141,classical
0.236,-3.66,0.182,0.068,1739.621,3247.207,classical
0.236,-3.732,0.175,0.066,1667.057,3059.868,classical
0.198,-8.105,0.196,0.081,1798.748,2975.889,classical
0.188,-8.479,0.197,0.079,1949.833,3320.42,classical
0.193,-8.908,0.191,0.078,1778.414,3023.262,classical
0.194,-8.737,0.194,0.076,1841.842,3111.548,classical
0.189,-9.135,0.19,0.074,1799.54,3036.182,classical
0.195,-8.904,0.186,0.072,1736.885,2975.889,classical
0.177,-8.537,0.187,0.07,1753.282,2978.042,classical
0.191,-8.659,0.186,0.069,1919.733,3178.301,classical
0.192,-8.837,0.188,0.067,1771.363,2952.202,classical
0.199,-8.679,0.188,0.066,1815.499,3027.568,classical
0.244,-7.709,0.283,0.04,1307.999,2493.545,classical
0.241,-7.529,0.283,0.039,1425.627,2711.03,classical
0.225,-7.477,0.262,0.038,1271.461,2437.559,classical
0.229,-7.68,0.256,0.039,1370.874,2564.604,classical
0.234,-7.828,0.263,0.038,1259.565,2400.952,classical
0.236,-8.302,0.274,0.038,1278.874,2431.099,classical
0.226,-7.362,0.281,0.036,1253.863,2383.726,classical
0.23,-7.616,0.27,0.037,1320.786,2527.998,classical
0.221,-7.377,0.264,0.037,1433.161,2833.77,classical
0.216,-7.53,0.268,0.036,1302.46,2500.005,classical
0.262,-9.834,0.365,0.061,1309.676,2366.499,classical
0.253,-9.863,0.342,0.061,1296.993,2338.506,classical
0.264,-9.991,0.337,0.06,1348.87,2368.652,classical
0.262,-9.946,0.331,0.061,1357.255,2375.112,classical
0.27,-10.085,0.323,0.063,1495.595,2590.444,classical
0.269,-10.265,0.34,0.062,1385.434,2431.099,classical
0.271,-10.402,0.346,0.061,1424.472,2467.705,classical
0.27,-10.516,0.358,0.063,1406.955,2465.552,classical
0.275,-11.497,0.374,0.066,1448.451,2519.385,classical
0.274,-10.23,0.363,0.066,1591.555,2801.47,classical
0.227,-4.468,0.44,0.033,1276.82,2560.298,classical
0.228,-3.975,0.478,0.034,1353.838,2665.811,classical
0.226,-3.913,0.508,0.031,1207.94,2366.499,classical
0.229,-3.619,0.459,0.031,1257.938,2579.678,classical
0.235,-3.682,0.442,0.032,1226.13,2469.858,classical
0.214,-3.418,0.427,0.03,1315.721,2622.744,classical
0.211,-3.395,0.404,0.031,1228.561,2495.698,classical
0.217,-3.644,0.419,0.032,1154.763,2392.339,classical
0.219,-3.614,0.337,0.031,1199.976,2454.785,classical
0.236,-3.702,0.315,0.031,1126.086,2336.353,classical
0.247,-7.115,0.224,0.08,1835.469,3191.221,classical
0.238,-6.951,0.219,0.078,1778.792,3051.255,classical
0.236,-6.464,0.195,0.074,1760.472,2993.115,classical
0.233,-7.11,0.194,0.072,1776.448,3034.028,classical
0.239,-5.972,0.19,0.071,1856.195,3266.587,classical
0.217,-6.293,0.189,0.07,1802.72,3113.701,classical
0.214,-6.055,0.183,0.07,1816.053,3176.147,classical
0.216,-6.101,0.18,0.072,1902.419,3393.633,classical
0.232,-6.14,0.179,0.072,1902.251,3400.093,classical
0.213,-5.927,0.178,0.072,1840.811,3208.447,classical
0.241,-5.648,0.197,0.084,1705.06,3025.415,classical
0.238,-6.029,0.226,0.085,1818.477,3189.067,classical
0.245,-6.518,0.191,0.084,1727.441,3038.335,classical
0.231,-6.863,0.192,0.083,1708.333,2947.896,classical
0.234,-6.116,0.224,0.082,1795.523,3115.854,classical
0.247,-7.135,0.223,0.08,1725.744,2990.962,classical
0.245,-7.054,0.218,0.079,1711.023,2950.049,classical
0.247,-6.278,0.217,0.077,1682.831,2889.756,classical
0.245,-6.589,0.182,0.077,1754.76,3059.868,classical
0.249,-6.289,0.2,0.078,1778.785,3077.095,classical
0.194,-13.08,0.136,0.04,1232.762,2286.826,classical
0.189,-13.426,0.133,0.036,1249.307,2321.279,classical
0.187,-12.777,0.131,0.034,1219.264,2308.359,classical
0.19,-12.887,0.132,0.033,1266.636,2319.126,classical
0.191,-12.05,0.132,0.033,1420.144,2635.664,classical
0.193,-12.411,0.132,0.033,1548.897,2960.815,classical
0.192,-11.634,0.132,0.033,1635.426,3210.601,classical
0.195,-11.485,0.132,0.033,1576.575,3072.788,classical
0.195,-12.23,0.132,0.033,1538.397,2984.502,classical
0.199,-12.062,0.132,0.033,1505.137,2855.303,classical
0.211,-8.7,0.173,0.033,1195.365,2198.54,classical
0.215,-8.361,0.171,0.035,1215.944,2181.313,classical
0.215,-8.234,0.17,0.035,1154.19,2116.714,classical
0.22,-7.981,0.16,0.035,1159.101,2157.627,classical
0.216,-7.865,0.155,0.036,1181.369,2112.407,classical
0.213,-7.765,0.152,0.036,1108.328,2095.181,classical
0.218,-7.868,0.151,0.036,1160.976,2133.94,classical
0.223,-7.363,0.15,0.036,1242.934,2164.087,classical
0.222,-7.46,0.149,0.036,1169.346,2073.647,classical
0.218,-7.567,0.148,0.036,1169.622,2075.801,classical
0.19,-22.604,0.21,0.033,864.286,923.774,classical
0.189,-22.12,0.205,0.033,1229.434,2030.581,classical
0.187,-24.118,0.211,0.033,860.681,865.635,classical
0.183,-22.716,0.211,0.032,931.658,1061.587,classical
0.189,-21.689,0.222,0.032,960.053,1147.72,classical
0.188,-22.574,0.218,0.032,989.082,1281.226,classical
0.202,-22.887,0.221,0.032,838.463,867.788,classical
0.184,-24.453,0.229,0.032,692.642,661.069,classical
0.189,-22.243,0.223,0.032,895.673,968.994,classical
0.189,-22.59,0.226,0.032,986.979,1197.246,classical
0.174,-23.206,0.14,0.026,1043.013,1563.311,classical
0.178,-23.463,0.141,0.027,1106.071,1636.523,classical
0.226,-21.986,0.193,0.027,1174.734,2105.947,classical
0.234,-21.407,0.225,0.028,1488.131,2842.383,classical
0.238,-20.172,0.197,0.028,1046.074,1371.665,classical
0.228,-20.041,0.175,0.029,1193.664,1817.402,classical
0.238,-20.6,0.181,0.03,1160.211,1888.462,classical
0.238,-19.956,0.177,0.03,1222.482,2045.654,classical
0.244,-19.807,0.161,0.03,1197.445,1918.608,classical
0.222,-20.205,0.159,0.031,900.911,1141.26,classical
0.241,-18.211,0.321,0.032,995.066,1645.137,classical
0.241,-17.731,0.358,0.032,844.812,1406.118,classical
0.232,-17.424,0.354,0.032,791.492,1369.512,classical
0.239,-17.592,0.33,0.031,1018.878,1670.977,classical
0.242,-16.53,0.293,0.032,1252.881,2232.993,classical
0.224,-18.249,0.281,0.033,895.864,1440.571,classical
0.223,-19.242,0.279,0.032,981.524,1574.077,classical
0.241,-18.277,0.29,0.033,787.54,1345.825,classical
0.232,-17.587,0.278,0.032,1095.065,1724.81,classical
0.24,-18.354,0.338,0.033,975.847,1571.924,classical
0.226,-7.623,0.496,0.012,981.882,1862.622,classical
0.224,-7.835,0.461,0.012,608.746,839.795,classical
0.217,-7.696,0.473,0.012,614.266,826.875,classical
0.237,-7.568,0.49,0.011,860.118,1597.764,classical
0.225,-7.347,0.476,0.011,959.16,1666.67,classical
0.233,-7.936,0.479,0.011,692.326,1074.507,classical
0.223,-7.982,0.493,0.012,548.223,766.582,classical
0.21,-7.557,0.486,0.012,597.008,818.262,classical
0.22,-7.442,0.479,0.013,710.955,1093.887,classical
0.218,-7.791,0.471,0.012,793.811,1388.892,classical
0.243,-5.38,0.27,0.046,1429.519,2667.964,classical
0.249,-5.322,0.303,0.046,1424.001,2622.744,classical
0.251,-5.594,0.26,0.047,1317.004,2416.025,classical
0.247,-5.258,0.284,0.047,1330.096,2444.019,classical
0.25,-4.968,0.244,0.046,1579.369,2982.349,classical
0.242,-5.411,0.244,0.047,1466.262,2622.744,classical
0.225,-6.149,0.241,0.045,1409.547,2588.291,classical
0.227,-5.905,0.238,0.044,1471.309,2741.177,classical
0.213,-5.482,0.243,0.042,1365.698,2474.165,classical
0.213,-5.649,0.226,0.041,1369.97,2523.691,classical
0.238,-16.582,0.285,0.044,1168.516,1856.162,classical
0.233,-17.357,0.308,0.042,1233.783,1978.901,classical
0.224,-16.635,0.307,0.042,1244.909,2002.588,classical
0.224,-15.474,0.268,0.042,1272.124,2071.494,classical
0.224,-15.385,0.266,0.042,1300.58,2151.167,classical
0.223,-16.157,0.221,0.04,1320.091,2205.0,classical
0.209,-15.193,0.208,0.037,1255.368,1993.975,classical
0.215,-14.992,0.2,0.039,1231.63,1955.215,classical
0.211,-14.891,0.202,0.039,1302.347,2065.034,classical
0.209,-17.784,0.196,0.039,1114.403,1748.496,classical
0.199,-10.492,0.146,0.029,832.316,1182.173,classical
0.195,-10.362,0.146,0.028,1135.233,1660.21,classical
0.188,-10.549,0.144,0.028,813.443,1141.26,classical
0.193,-10.524,0.145,0.028,945.266,1363.052,classical
0.198,-10.219,0.145,0.028,752.855,1080.967,classical
0.21,-10.525,0.146,0.029,836.101,1218.779,classical
0.2,-10.356,0.146,0.028,756.645,1136.953,classical
0.212,-10.24,0.147,0.029,872.207,1283.379,classical
0.213,-10.137,0.148,0.03,979.706,1434.111,classical
0.213,-10.181,0.15,0.031,1000.97,1416.885,classical
0.213,-16.483,0.191,0.056,1407.436,2476.318,classical
0.208,-18.17,0.196,0.057,1281.368,2144.707,classical
0.212,-16.236,0.203,0.058,1265.996,2133.94,classical
0.208,-17.253,0.22,0.059,1209.242,2026.274,classical
0.207,-16.457,0.229,0.058,1367.079,2288.979,classical
0.229,-14.857,0.225,0.059,1406.556,2360.039,classical
0.211,-16.516,0.237,0.058,1361.48,2243.76,classical
0.219,-15.76,0.238,0.06,1318.88,2075.801,classical
0.217,-15.88,0.247,0.06,1254.342,1993.975,classical
0.208,-17.395,0.246,0.059,1310.856,2157.627,classical
0.238,-17.921,0.34,0.05,1126.014,2054.268,classical
0.242,-17.531,0.326,0.049,1093.492,2039.194,classical
0.244,-17.639,0.323,0.048,1108.168,2041.348,classical
0.236,-16.626,0.306,0.048,1256.142,2185.62,classical
0.237,-17.353,0.303,0.048,1523.95,2835.923,classical
0.236,-16.854,0.299,0.048,1110.044,2039.194,classical
0.242,-17.425,0.343,0.05,1162.13,2101.641,classical
0.235,-16.75,0.327,0.051,1165.619,2131.787,classical
0.241,-16.655,0.349,0.052,1437.968,2571.064,classical
0.249,-16.081,0.382,0.052,1291.797,2321.279,classical
0.24,-8.316,0.17,0.045,1114.738,1937.988,classical
0.238,-8.206,0.169,0.046,1268.309,2220.073,classical
0.249,-7.847,0.169,0.046,1243.036,2209.307,classical
0.257,-7.551,0.17,0.045,1252.114,2211.46,classical
0.258,-8.063,0.17,0.047,1188.015,2060.728,classical
0.251,-8.06,0.168,0.046,1319.339,2353.579,classical
0.239,-8.222,0.166,0.047,1315.155,2338.506,classical
0.226,-8.113,0.165,0.045,1307.57,2314.819,classical
0.216,-8.645,0.161,0.046,1103.831,1957.368,classical
0.211,-8.746,0.163,0.045,1307.613,2329.893,classical
0.234,-12.655,0.27,0.042,1135.778,2021.968,classical
0.23,-12.59,0.248,0.043,1218.834,2172.7,classical
0.232,-12.32,0.26,0.044,1148.582,2056.421,classical
0.234,-12.377,0.267,0.043,1415.236,2607.671,classical
0.238,-12.034,0.269,0.045,1205.304,2198.54,classical
0.236,-12.146,0.264,0.047,1309.804,2321.279,classical
0.241,-12.143,0.269,0.047,1184.988,2105.947,classical
0.239,-12.833,0.259,0.047,1205.722,2196.387,classical
0.233,-12.004,0.253,0.047,1225.965,2222.227,classical
0.241,-12.97,0.256,0.047,1079.466,1981.055,classical
0.276,-9.872,0.434,0.035,1090.582,1897.075,classical
0.268,-9.772,0.462,0.034,984.633,1668.823,classical
0.263,-10.009,0.433,0.032,882.853,1556.851,classical
0.271,-10.041,0.412,0.032,895.796,1533.164,classical
0.263,-10.013,0.369,0.031,960.685,1563.311,classical
0.273,-10.145,0.365,0.03,829.818,1442.725,classical
0.274,-10.237,0.37,0.029,869.63,1477.178,classical
0.269,-10.757,0.355,0.029,914.349,1528.857,classical
0.265,-11.185,0.358,0.028,865.016,1395.352,classical
0.265,-10.973,0.383,0.029,914.888,1496.558,classical
0.216,-6.059,0.265,0.099,2105.575,3798.457,classical
0.221,-5.968,0.243,0.099,2085.086,3673.564,classical
0.215,-5.522,0.265,0.1,2122.087,3733.857,classical
0.232,-6.454,0.244,0.099,2139.084,3727.397,classical
0.229,-6.133,0.231,0.1,2167.827,3783.384,classical
0.242,-6.321,0.252,0.101,2153.59,3744.624,classical
0.235,-6.285,0.24,0.099,2222.479,3748.931,classical
0.224,-6.696,0.265,0.101,2210.252,3690.791,classical
0.223,-6.709,0.244,0.104,2145.451,3568.052,classical
0.219,-6.85,0.244,0.107,2116.345,3550.825,classical
0.211,-9.974,0.251,0.088,2104.117,4078.389,classical
0.21,-10.592,0.235,0.088,2059.397,3901.816,classical
0.216,-10.417,0.239,0.087,2036.846,3931.963,classical
0.212,-10.805,0.253,0.089,2089.721,4130.068,classical
0.211,-10.498,0.265,0.089,2095.296,4112.842,classical
0.203,-10.077,0.257,0.088,2144.364,4233.428,classical
0.215,-10.017,0.25,0.088,2024.666,3964.263,classical
0.219,-9.96,0.25,0.09,2124.99,4242.041,classical
0.21,-10.364,0.243,0.09,2053.746,3919.043,classical
0.223,-10.09,0.238,0.09,2107.716,4048.242,classical
0.226,-2.404,0.271,0.095,2164.2,4246.348,classical
0.226,-2.317,0.293,0.092,2197.661,4308.794,classical
0.232,-2.498,0.284,0.093,2175.163,4304.487,classical
0.223,-2.377,0.278,0.091,2169.061,4242.041,classical
0.22,-2.409,0.27,0.089,2197.971,4291.567,classical
0.233,-2.746,0.27,0.087,2184.797,4280.801,classical
0.223,-2.621,0.271,0.085,2245.457,4379.854,classical
0.226,-2.978,0.277,0.085,2173.948,4201.128,classical
0.234,-2.941,0.274,0.084,2245.745,4375.547,classical
0.239,-2.623,0.275,0.082,2170.794,4254.961,classical
0.226,-2.664,0.444,0.067,1564.928,3156.768,classical
0.244,-2.455,0.448,0.063,1522.805,3049.102,classical
0.229,-2.448,0.47,0.062,1515.816,3083.555,classical
0.233,-2.358,0.491,0.06,1532.201,3120.161,classical
0.238,-2.022,0.486,0.056,1622.826,3339.8,classical
0.238,-2.03,0.46,0.055,1537.753,3130.928,classical
0.234,-1.825,0.447,0.053,1471.364,2947.896,classical
0.226,-1.837,0.446,0.05,1396.309,2818.696,classical
0.228,-2.129,0.446,0.048,1457.626,2883.296,classical
0.244,-1.64,0.42,0.046,1415.469,2810.083,classical
0.244,-2.938,0.273,0.084,1614.649,2476.318,classical
0.246,-3.597,0.274,0.084,1562.781,2293.286,classical
0.245,-3.75,0.295,0.085,1595.03,2379.419,classical
0.251,-4.119,0.332,0.085,1554.777,2314.819,classical
0.258,-3.977,0.292,0.086,1585.951,2424.639,classical
0.252,-5.015,0.259,0.086,1560.422,2355.732,classical
0.251,-5.168,0.257,0.085,1613.585,2508.618,classical
0.254,-5.42,0.266,0.086,1676.441,2596.904,classical
0.249,-5.947,0.259,0.086,1561.207,2357.886,classical
0.257,-5.512,0.229,0.086,1560.83,2377.266,classical
0.241,-12.578,0.248,0.064,1710.021,3109.395,classical
0.225,-12.632,0.278,0.062,1751.26,3193.374,classical
0.235,-12.13,0.237,0.063,1661.041,3120.161,classical
0.229,-11.905,0.256,0.063,1852.644,3421.626,classical
0.225,-12.304,0.244,0.062,1715.98,3169.688,classical
0.229,-12.498,0.24,0.064,1713.009,3197.681,classical
0.225,-12.262,0.282,0.065,1689.005,3143.848,classical
0.24,-12.371,0.26,0.067,1677.775,3150.308,classical
0.23,-11.826,0.274,0.068,1649.938,3087.861,classical
0.235,-11.694,0.319,0.071,1728.022,3217.061,classical
0.276,-12.728,0.154,0.084,2002.489,3953.496,classical
0.263,-11.959,0.159,0.081,1998.588,4093.462,classical
0.26,-12.395,0.146,0.085,1983.206,3869.517,classical
0.25,-12.1,0.143,0.088,2102.632,4190.361,classical
0.259,-12.188,0.139,0.091,2002.347,4011.636,classical
0.255,-12.327,0.14,0.092,2136.977,4373.394,classical
0.28,-12.03,0.14,0.093,2079.462,4177.441,classical
0.28,-11.854,0.142,0.096,2123.498,4373.394,classical
0.272,-11.481,0.149,0.094,2035.217,4093.462,classical
0.251,-11.581,0.144,0.089,1875.558,3701.558,classical
0.256,0.731,0.527,0.055,1746.278,3354.873,classical
0.255,0.727,0.513,0.053,1686.77,3221.367,classical
0.249,0.966,0.514,0.049,1673.04,3197.681,classical
0.245,0.785,0.512,0.049,1700.635,3225.674,classical
0.25,0.671,0.528,0.05,1643.671,3156.768,classical
0.246,0.666,0.542,0.049,1601.327,3079.248,classical
0.238,1.047,0.551,0.046,1684.33,3201.987,classical
0.23,1.179,0.526,0.043,1701.246,3281.66,classical
0.237,1.473,0.528,0.042,1579.894,3107.241,classical
0.247,1.373,0.533,0.041,1596.81,3148.154,classical
0.219,-9.039,0.133,0.102,2102.689,3443.159,classical
0.21,-9.455,0.133,0.101,2165.733,3766.157,classical
0.205,-9.847,0.136,0.104,2179.017,3710.171,classical
0.203,-9.792,0.142,0.106,2195.233,3697.251,classical
0.203,-9.608,0.152,0.107,2173.85,3692.944,classical
0.206,-9.899,0.159,0.105,2090.431,3438.853,classical
0.216,-9.161,0.167,0.107,2202.337,3860.903,classical
0.225,-9.245,0.191,0.109,2127.645,3639.111,classical
0.221,-9.937,0.191,0.106,2107.201,3540.059,classical
0.214,-10.309,0.191,0.105,2143.336,3658.491,classical
0.246,-2.372,0.399,0.042,1494.313,3197.681,classical
0.234,-2.105,0.41,0.039,1468.295,3154.614,classical
0.231,-1.896,0.432,0.037,1445.633,3130.928,classical
0.231,-1.98,0.446,0.035,1527.457,3361.333,classical
0.228,-2.305,0.442,0.033,1519.957,3290.273,classical
0.231,-2.45,0.409,0.033,1511.32,3257.974,classical
0.233,-2.762,0.416,0.031,1500.358,3275.2,classical
0.249,-2.549,0.4,0.031,1457.224,3165.381,classical
0.248,-2.618,0.441,0.032,1482.889,3262.28,classical
0.234,-3.025,0.438,0.033,1472.196,3234.287,classical
0.248,-8.497,0.261,0.037,1408.082,2909.136,classical
0.247,-8.191,0.269,0.036,1512.142,3081.401,classical
0.249,-8.102,0.285,0.035,1361.165,2812.236,classical
0.258,-7.825,0.276,0.033,1260.795,2655.044,classical
0.252,-7.773,0.272,0.033,1249.784,2687.344,classical
0.259,-7.798,0.259,0.035,1352.931,2816.543,classical
0.255,-7.803,0.263,0.036,1311.898,2758.403,classical
0.264,-8.124,0.255,0.037,1362.952,2831.616,classical
0.261,-8.031,0.262,0.037,1450.441,3046.948,classical
0.27,-7.902,0.271,0.036,1294.213,2784.243,classical
0.236,4.994,0.385,0.042,2627.782,6638.687,country
0.228,4.585,0.395,0.044,2611.835,6589.16,country
0.218,4.998,0.369,0.048,2682.421,6707.593,country
0.225,4.847,0.389,0.055,2702.318,6528.867,country
0.213,5.274,0.383,0.057,2713.172,6576.24,country
0.257,6.248,0.429,0.058,2641.234,6496.567,country
0.264,6.724,0.487,0.061,2670.299,6619.307,country
0.274,6.897,0.491,0.065,2654.555,6602.08,country
0.276,7.419,0.423,0.067,2668.275,6746.353,country
0.281,7.415,0.406,0.071,2690.36,6810.952,country
0.258,7.301,0.589,0.096,3237.069,6752.812,country
0.254,7.496,0.562,0.093,3257.21,6804.492,country
0.251,7.839,0.586,0.092,3252.4,6798.032,country
0.249,7.717,0.619,0.093,3254.466,6787.266,country
0.258,7.581,0.581,0.087,3196.408,6729.126,country
0.255,7.44,0.563,0.087,3169.197,6610.693,country
0.246,8.058,0.546,0.084,3133.352,6608.54,country
0.256,7.812,0.516,0.085,3117.37,6576.24,country
0.258,7.315,0.503,0.087,3062.966,6440.581,country
0.26,7.478,0.498,0.091,3044.637,6371.675,country
0.219,-0.466,0.253,0.072,2774.391,7125.337,country
0.201,-0.417,0.257,0.072,2760.918,7146.87,country
0.203,-0.756,0.261,0.073,2854.463,7353.589,country
0.208,-0.921,0.263,0.071,2787.511,7293.296,country
0.209,-0.967,0.267,0.069,2759.545,7211.47,country
0.196,-1.34,0.274,0.068,2750.805,7131.797,country
0.196,-0.824,0.268,0.067,2721.088,7000.444,country
0.209,-0.846,0.269,0.067,2676.949,6841.099,country
0.224,-1.053,0.262,0.066,2661.658,6782.959,country
0.192,-1.813,0.262,0.064,2696.091,6933.691,country
0.241,5.662,0.562,0.037,1420.6,2971.582,country
0.247,5.756,0.585,0.037,1333.533,2745.483,country
0.244,5.475,0.529,0.037,1339.1,2747.637,country
0.222,5.785,0.526,0.035,1312.574,2683.037,country
0.234,5.276,0.509,0.038,1283.099,2603.364,country
0.228,5.658,0.469,0.038,1303.479,2683.037,country
0.232,5.707,0.459,0.037,1470.602,3062.021,country
0.244,5.389,0.459,0.038,1288.082,2601.211,country
0.238,5.682,0.443,0.038,1298.018,2614.131,country
0.238,6.067,0.474,0.039,1338.585,2713.184,country
0.284,3.454,0.3,0.076,2888.056,5762.285,country
0.284,4.127,0.331,0.076,2864.178,5803.198,country
0.275,4.343,0.386,0.073,2816.957,5732.139,country
0.277,5.542,0.371,0.072,2761.113,5658.926,country
0.279,5.9,0.406,0.068,2740.807,5646.006,country
0.283,6.386,0.405,0.067,2710.318,5628.779,country
0.274,7.128,0.423,0.062,2613.539,5510.347,country
0.276,7.177,0.448,0.06,2598.792,5402.681,country
0.275,7.354,0.429,0.057,2510.49,5213.188,country
0.268,7.308,0.461,0.056,2503.704,5165.815,country
0.227,9.726,0.265,0.085,2050.83,3425.933,country
0.241,9.505,0.25,0.086,1969.629,3210.601,country
0.231,9.627,0.261,0.084,1946.891,3189.067,country
0.219,9.919,0.244,0.085,1956.743,3169.688,country
0.219,9.33,0.245,0.087,2009.554,3182.607,country
0.223,9.675,0.236,0.085,1986.11,3195.527,country
0.22,9.71,0.238,0.082,1929.073,3158.921,country
0.212,9.77,0.23,0.081,1995.75,3184.761,country
0.223,9.607,0.244,0.082,2020.413,3232.134,country
0.224,10.004,0.231,0.084,2259.833,4102.075,country
0.236,6.672,0.449,0.042,2289.875,5342.388,country
0.241,6.81,0.434,0.043,2353.21,5663.232,country
0.241,6.335,0.454,0.045,2375.557,5665.386,country
0.23,6.413,0.438,0.043,2365.704,5594.326,country
0.233,6.159,0.439,0.048,2377.591,5609.399,country
0.233,6.707,0.438,0.047,2357.688,5538.34,country
0.231,6.778,0.447,0.046,2382.651,5751.519,country
0.239,7.017,0.463,0.047,2592.691,6132.656,country
0.236,7.163,0.496,0.054,2670.548,6117.583,country
0.237,6.734,0.477,0.054,2714.987,6220.942,country
0.215,6.944,0.526,0.064,2310.989,5295.015,country
0.213,6.976,0.505,0.064,2287.555,5137.822,country
0.214,6.526,0.518,0.064,2285.621,5215.342,country
0.233,6.674,0.523,0.068,2365.467,5342.388,country
0.233,6.979,0.489,0.067,2318.542,5271.328,country
0.239,7.151,0.515,0.068,2383.595,5434.98,country
0.213,7.285,0.508,0.067,2381.039,5467.28,country
0.218,6.92,0.518,0.066,2439.595,5553.413,country
0.231,6.744,0.527,0.066,2469.445,5607.246,country
0.219,7.183,0.5,0.066,2449.712,5570.64,country
0.211,6.025,0.242,0.1,2875.918,6231.709,country
0.219,6.021,0.248,0.099,2869.658,6231.709,country
0.227,5.962,0.253,0.097,2865.85,6220.942,country
0.23,6.349,0.256,0.095,2843.552,6190.796,country
0.23,6.262,0.26,0.092,2817.472,6143.423,country
0.238,6.034,0.282,0.093,2812.588,6115.43,country
0.232,5.967,0.254,0.092,2786.597,6046.523,country
0.229,5.853,0.249,0.092,2780.534,6035.757,country
0.238,6.216,0.26,0.092,2796.914,6048.677,country
0.228,6.006,0.269,0.092,2799.309,6042.217,country
0.25,1.544,0.319,0.135,3334.277,7437.568,country
0.257,2.586,0.307,0.135,3338.126,7428.955,country
0.269,3.621,0.318,0.134,3267.298,7325.596,country
0.263,3.844,0.365,0.131,3213.224,7254.536,country
0.274,4.247,0.366,0.121,3126.661,7159.79,country
0.265,5.231,0.39,0.125,3120.756,7144.717,country
0.268,5.584,0.402,0.116,3053.197,7011.211,country
0.261,6.426,0.423,0.11,3009.131,6948.765,country
0.259,6.413,0.447,0.103,3000.919,6899.238,country
0.256,6.965,0.459,0.105,2993.142,6897.085,country
0.237,-4.098,0.291,0.078,2452.233,4883.73,country
0.242,-4.298,0.302,0.08,2508.173,4922.49,country
0.244,-4.341,0.285,0.078,2544.659,4967.71,country
0.23,-4.528,0.295,0.078,2510.781,4804.058,country
0.236,-4.148,0.269,0.077,2530.286,4905.264,country
0.238,-4.937,0.261,0.075,2417.689,4623.179,country
0.219,-4.377,0.249,0.069,2268.634,4412.153,country
0.206,-4.771,0.233,0.066,2182.604,4218.354,country
0.203,-5.141,0.232,0.064,2088.493,4069.775,country
0.231,-5.136,0.23,0.061,2030.34,3951.343,country
0.278,-7.507,0.305,0.07,2677.504,6554.707,country
0.276,-6.806,0.277,0.07,2618.26,6214.482,country
0.279,-6.689,0.259,0.074,2594.155,6124.043,country
0.278,-6.904,0.263,0.076,2690.997,6365.215,country
0.28,-6.902,0.261,0.076,2646.241,6236.016,country
